query,frequency,category_breakdown
"Find a shop offering these items: (1) A laptop cooling fan for Acer Aspire 5, priced between 284 and 1105 PHP; (2) A 4K 60-pin display flex cable for Apple iMac 21.5, with 5 pcs in the color options, US plug type, and price from 120 to 758 PHP; (3) Built-in speakers for Lenovo Rescuer laptops, US plug, free shipping, and under 911 PHP; (4) A 54.6v 2A charger for 48V lithium ebike, color family US plug, for scooter models, and price below 1615 PHP. Show only shops that sell all these electronics.",2,Shop:2
"Find a shop offering both a casual orange nylon crossbody bag with a plain design, supports cash on delivery, and costs under 304 PHP, as well as casual brown rubber slides in size 38-39, comes with free shipping, and is priced below 516 PHP.",2,Shop:2
"Find shops offering both tactical gloves under 299 PHP and a set of 100 transparent plastic ID holders, vertical 70*115mm size, made of plastic, priced above 108 PHP.",2,Shop:2
"Find backpacks in 2blue color, small backpacks in oldrose shade with cash on delivery, backpacks in chocolate#1 color with COD, and handbags or sling bags in x-blue color that come with free shipping.

My budget is only `839`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `299`.
3. It provides a fixed discount of `124`.",2,Voucher:2
"I'm looking for a needle with option dp x 5++ and size 18, a thread stand with 2spool option, a thread rewinder that supports cash on delivery, and a zipper in royal blue color, size #8, with component type zipper.

My budget is only `201`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `151`.
3. It provides a percentage discount of `19%` with a cap of `94`.",2,Voucher:2
Show me induction-compatible non-stick cast iron cookware sets priced above 64 PHP.,2,Product:2
"Looking for a shop offering both a transparent roof panel with dimensions 1.2mm*1.2m*10m priced between 894 and 5729 PHP, and a portable blender with a plastic jug, 5 speed options, and a price under 12229 PHP.",2,Shop:2
"I'm looking for a rack end for Mitsubishi Triton or Pajero Sport, an 8-inch metal sheet cutter or aviation snips, and a black Bolmen toilet brush from Ikea or similar brands.

My budget is only `1312`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `549`.
3. It provides a fixed discount of `66`.",2,Voucher:2
"Looking for a hair clip in the flower stone color family, priced between 15 and 99 pesos.",2,Product:2
"I'm looking for a mop that works without a bucket, specifically a mop type, and costs under 121 pesos.",2,Product:2
"Looking for a shop offering black shoes for kids and ladies. For the first item, I need size EU 36, black color, suitable for children aged 6 to 10, and must support cash on delivery. For the second item, I want black shoes for kids, size EU 28, type should be shoes, and the price should be under 133 pesos.",2,Shop:2
"Find a shop offering these items: First, a blackout curtain for women in avocado green, size 135w*220l(7.2ft), made of polyester fabric, with shade fabric features, and the brand is ashmore. Second, a large 7 pull-out kitchen faucet, type pull out faucets, priced below 2208 PHP. Third, a shower set in starry sky white, with LED temperature sensing finish, brand ashmore, type shower tower & systems, and price above 339 PHP.",2,Shop:2
"Find a shop offering these items: (1) A water pump in the makita color family, made with an aluminum motor shell, categorized under water pumps and sink faucets, available for cash on delivery, and priced above 403 PHP; (2) A set of socket bits for electric power tools, with 1/2"" geared ratchets, costing more than 159 PHP; (3) A cordless impact drill using li-ion batteries, priced under 2951 PHP; (4) A cordless electric drill kit with accessories, featuring a cushioned grip, and priced over 55 PHP.",2,Shop:2
"Looking for a shop offering perfumes where one is a clear color, single piece, and costs under 131 pesos, and another is a regular size, oil-based tester with model 'miris bare vanilla premium tester perfume for women 85ml oil based', priced below 482 pesos.",2,Shop:2
"Looking for a magazine extender in 2pc black, model lc1154, that supports cash on delivery. Also searching for a pink portable electric fan with oscillating feature.

My budget is only `1374`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `998`.
3. It provides a fixed discount of `112`.",2,Voucher:2
"Looking for a brown single-piece car headrest neck pillow, model car headrest neck pillow; also searching for a 3d matte 50 by 50 cm carbon fiber sticker that supports pay on delivery; and need an electrical tape, 1 roll, size 25mm by 15 meters, model electrical tape. Categories: car accessories, sticker, electrical tape.

My budget is only `163`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `28`.
3. It provides a percentage discount of `40%` with a cap of `18`.",2,Voucher:2
"Find shops offering a 'flash drive' with the variation '32gb usb with hirens', brand 'cruzer', and price under 392 PHP; an 'external hard drive' with the variation 'package 4 - pc game', compatible with Windows, input type 'usb type a', model 'toshiba', and price between 71 and 1235 PHP; and a 'usb flash drive' that comes with free shipping and costs less than 630 PHP.",2,Shop:2
"Looking for a white wireless gaming mouse from Fantech with USB connection and 2000 dpi sensitivity, a pearl white coiled cable compatible with most USB-C mechanical keyboards, type-c to usb-a 2.0, 1.5m long, model ac701(new-color), and a pink optical gaming mouse, model vx7 sakura edition, with adjustable sensitivity from 200 to 8000 dpi.

My budget is only `1297`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `964`.
3. It provides a percentage discount of `29%` with a cap of `646`.",2,Voucher:2
"Find shops offering at least two items: First, a ceiling lights model priced above 416 PHP. Second, a pendants type light with dual line tri color family, width up to 4 inches, tri-color bulb, priced from 300 to 963 PHP, with both free shipping and cash on delivery available.",2,Shop:2
"Find shops offering baby shoes that match these: First, white lace boat shoes for 0-6 months with a round toe, free shipping, and under 84 PHP. Second, white socks leather baby shoes for 0-6 months. Third, wide fit blue sandals with hook and loop closure, size 12cm for 6-12 months, priced below 200 PHP. Lastly, gold mary jane sandals for baby girls, size 11cm (0-6 months), under 56 PHP.",2,Shop:2
"I'm looking for a kawaii handbag made of cotton in the cinnamon withstrap b color, from the Sanrio brand, that supports cash on delivery. Also, I want a unisex toy set with 20 pieces and free shipping. Lastly, I'm searching for men's shorts in size L, khaki color, with a plain pattern, made of polyester, from Incerun.

My budget is only `544`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `124`.
3. It provides a percentage discount of `13%` with a cap of `116`.",2,Voucher:2
"I'm looking for a camshaft oil seal made for Toyota vehicles, a set of heavy-duty multi-purpose pliers (including combination and diagonal cutting types) from Wadfow, models wpl1778 or wpl3778, and a silver-colored chain necklace by Aurora, crafted from platinum with no gemstones.

My budget is only `454`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `268`.
3. It provides a fixed discount of `123`.",2,Voucher:2
"Find women's shoes in black, size EU 38, made from non-leather material, with a round toe design, by Shoecents, and priced under 862 PHP.",2,Product:2
"Find a shop offering these items: First, a wiremax brand duplex solid wire, size 14/2 (1 meter), priced below 70 pesos. Second, an FSL LED ceiling lamp, 18w color family, width 4 inches or less, white bulb color, price between 209 and 550 pesos. Third, a jetmatic type water pump made of cast iron, model nova009, dark green finish, water-saving feature, price above 4 pesos.",2,Shop:2
"Find a shop offering these items: First, kraft paper sheets for an anniversary gift, priced under 262 PHP. Second, natural jute rope suitable for sewing crafts, with a price between 41 and 139 PHP. Third, a vintage-style jute envelope in design B, size 5x7 inches plain, categorized as a paper envelope, with free shipping and costing more than 10 PHP.",2,Shop:2
"I'm looking for a pink adult rashguard in 2xl size, made from nylon spandex, with 1 piece per pack and made in the Philippines. Also, I need a set of 100 pink latex balloons for parties, suitable for any gender, from the King Star brand, model Thailand balloons. Lastly, I'm searching for a 15mm cooker lid knob, specifically for pressure cookers, that comes with free shipping.

My budget is only `300`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `143`.
3. It provides a fixed discount of `58`.",2,Voucher:2
"I'm looking for a pair of jms brand safety shoes in size eu 41. Also, I need a uni-t digital meter, specifically the ut33a+ model. Additionally, I'm searching for an orange back cover phone case with a solid theme, compatible with apple iphone 11 pro, and fits models like iphone 13 pro max, 12, 11 pro, x, xs, and xr max. Lastly, I want a cutting tool set for glue removal.

My budget is only `1223`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `1779`.
3. It provides a percentage discount of `44%` with a cap of `1628`.",2,Voucher:2
"Looking for pink slippers in size EU 39-40 with a simple design, priced between 142 and 287 pesos.",2,Product:2
"Show me white cotton buds for newborns, suitable from birth, with a pack containing 200 slim tips, and priced above 15 pesos.",2,Product:2
"Show me oem brand floor fans that are 20 inch in size, use between 1000 and 2000 watts, and cost more than 968 PHP.",2,Product:2
"Looking for hoop earrings made of platinum with zircon as the main gem, includes 1 piece as described in the package, and available with pay on delivery option.",2,Product:2
"Find a men's vest in blue, size 3XL, with a hooded neckline, pullover style, suitable for summer; an air conditioner safety valve adapter; and a kitchen detergent in a single 600ml bottle, orange or fruity scent, hypoallergenic, with free shipping.

My budget is only `218`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `291`.
3. It provides a percentage discount of `50%` with a cap of `238`.",2,Voucher:2
"I'm looking for a bottle of Datu Puti brand patis and a silicone phone case that's compatible with Samsung devices, especially for Note 8, made from plain silicone material.

My budget is only `123`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `41`.
3. It provides a percentage discount of `49%` with a cap of `38`.",2,Voucher:2
"Looking for a screen protector for matepad se 10.4 that comes as a single piece and fits tablets?

My budget is only `264`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `127`.
3. It provides a percentage discount of `18%` with a cap of `40`.",2,Voucher:2
"I'm looking for a silver volleyball medal with the model pvm, a green crystal pendant necklace with crystal gemstone, a pet bath brush from the xzs series, model xzs001, weighing 100g, and a digital multimeter.

My budget is only `1258`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `365`.
3. It provides a fixed discount of `116`.",2,Voucher:2
"Show me funnel products with a 50mm size and specialty type funnel.

My budget is only `139`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `83`.
3. It provides a percentage discount of `18%` with a cap of `45`.",2,Voucher:2
"I'm looking for plastic gloves made of plastic, a black kids t-shirt in size 16 with a shirt collar, cotton fabric, short sleeves, and free shipping, a lace flower love bb clip hair accessory with cash on delivery, and a tourmaline full moon blessing bracelet featuring tourmaline and jade as the main stone.

My budget is only `213`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `135`.
3. It provides a fixed discount of `32`.",2,Voucher:2
Looking for a plastic sink strainer basket priced from 39 to 102 pesos.,2,Product:2
"Find shops offering packaging tape where one product has 200m length, 12 rolls per pack, and costs under 48 pesos, and another product comes as 6 rolls sized 48mm x 200m, with clear tape type.",2,Shop:2
"Find shops offering flat shoes with these details: First, size US 7, color bone, suitable for all seasons. Second, size US 12, color white, round toe, made for spring 2025, and priced under 498 PHP. Third, size US 9, maroon color, round toe, casual use, created in 2024, for all seasons, and under 518 PHP.",2,Shop:2
"I'm looking for a plush doll keychain of labubu in green, which is a bunny suitable for kids aged 6 to 8, and it should come with complimentary shipping. Also, I want a single piece of a fraternal eagles car sticker that allows payment by cash when delivered. Lastly, I'm searching for a 30g pack of dog dental treats in pumpkin flavor, shaped like sticks, that help with dental and breath health.

My budget is only `260`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `202`.
3. It provides a percentage discount of `29%` with a cap of `179`.",2,Voucher:2
"Show me salmon oil for pets with heart health benefits, dog allergy supplements that support skin and coat, anti-allergy powder for dogs of any age with skin and coat benefits, and probiotics for dogs of all sizes and ages that help with sensitive digestion.

My budget is only `1138`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `1485`.
3. It provides a percentage discount of `39%` with a cap of `1148`.",2,Voucher:2
Looking for baby wall stickers with a price ranging from 13 to 112 PHP.,1,Product:1
"Looking for men's workout shoes in size US 12, smoke grey color, made with mesh material, and priced above 233 PHP.",1,Product:1
"Find organic coffee beans from the Philippines with a special houseblend flavor, model special houseblend, in a resealable pouch packaging, suitable for organic dietary needs, and available with LazFlash deals. Price should be between 138 and 265 PHP.",1,Product:1
"Looking for green corduroy seat covers for Suzuki Celerio, priced from 970 to 2537 PHP.",1,Product:1
"I'm looking for a shop that offers both of these items: First, a penlight in the flashlight category, priced above 544 PHP. Second, another penlight, also in the flashlight category, with an LED bulb type and a price over 727 PHP. Can you help me find a store that sells both?",1,Shop:1
"Find shops offering these items: (1) baby boy outfit in the 'shoes' color family, for males, made from a cotton-polyester blend, suitable for ages 0-18 months, with a plain design, and priced above 38 PHP; (2) headband in the 'no.1' color family, from the brand oem, priced between 71 and 130 PHP; (3) baby hat made of polyester, fits 0-18 months, free size, with a christening theme, and costs more than 1 PHP; (4) kids' fake nails in color c27, priced from 35 to 176 PHP. Show only shops that sell all these product types.",1,Shop:1
"Find shops offering multiple items, specifically: a men's cotton streetwear t-shirt, medium size, with a printed design, o-neck, short sleeves, and priced above 159 PHP; a unisex cotton t-shirt, 2XL, printed, short sleeves, and over 42 PHP; a loose-fit unisex cotton t-shirt, medium, casual style, short sleeves, free shipping, and price above 229 PHP; and a casual cotton t-shirt, 2XL, o-neck, short sleeves, priced between 230 and 378 PHP. All products should be from the t-shirt category.",1,Shop:1
"Show me hair cream with LazFlash deals, at least 100ml, delivery in 2 to 4 days. Also, find whitening bar soap for all skin types, and antiperspirant powder for kids sold as single items, available with cash on delivery.

My budget is only `148`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `201`.
3. It provides a percentage discount of `47%` with a cap of `97`.",1,Voucher:1
"Find a manual air flow control valve. Also, show me a 1 meter USB charging cable for iOS or Android that supports cash on delivery and has a LazFlash deal. Lastly, I'm looking for a grey propeller holder for DJI Mini drones.

My budget is only `227`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `195`.
3. It provides a fixed discount of `31`.",1,Voucher:1
"Show me men's sandals in size EU 43, color twist, with a plain pattern and casual style, available with LazFlash deals.",1,Product:1
Looking for a metal earphone holder that can support up to 10 kg and is priced between 39 and 152 PHP.,1,Product:1
"Show me women's shorts in medium size, color white, perfect for summer, priced from 220 to 672 PHP.",1,Product:1
"Looking for 20 pieces of coffee-colored hair clips and pins without any stones, priced above 3 pesos.",1,Product:1
"Looking for men's sneakers in black and white, size EU 40, with a plain design and low-cut style. Prefer sporty and streetwear vibes, sports sneaker type, and want to see only LazFlash deals.",1,Product:1
"Looking for a green electric pressure washer from ome brand with a pressure washer feature, priced between 25 and 66 PHP.",1,Product:1
"Find a shop offering these items: First, a pressed powder in the cream color family, priced above 105 PHP. Second, an oxidizing lotion in cream form with 12% variation, available with LazMall perks, and costing more than 14 PHP. Third, a pressed powder with SPF between 11 and 20, sold as a single item, and priced from 30 to 329 PHP.",1,Shop:1
"Find a shop offering both a wall-mounted kitchen cabinet priced above 410 PHP and an Intel 14-inch gaming laptop (official standard version) with LazMall perks, priced from 79 to 1126 PHP.",1,Shop:1
"Find shops offering motorcycle stickers where one product is sized 24cm, comes in blue, fits any motorcycle brand, and costs over 45 pesos. Also, look for another sticker suitable for any motorcycle model, available with cash on delivery, and priced above 7 pesos.",1,Shop:1
"I'm looking for a shop that sells these items: First, a lip balm in the trio color family, classified as mass market, sold as a single piece, with LazMall perks like guaranteed authenticity, easy returns, fast shipping, plus free delivery, and costs over 587 pesos. Second, a soothing gel mist with aloe vera as the main ingredient, suitable for oily skin, in the original series, regular size, from a Korean brand, and sold as a single item. Third, a hair oil with 20ml volume, considered premium, and priced above 1586 pesos. Please show shops offering all these products.",1,Shop:1
"I'm looking for some music albums: one is a Gorillaz CD that's brand new and still sealed, another is a Beatles 4CD box set that's also original and unopened, a Carpenters cassette tape that's new and sealed, and a Kanye West 'ye' CD that's original, brand new, and comes with a fast delivery LazFlash deal. Please show me these music products.

My budget is only `1400`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `468`.
3. It provides a fixed discount of `132`.",1,Voucher:1
"I'm looking for a storage bag made from solid material, a front fork for Yamaha Aerox that comes with LazMall benefits like authenticity guarantee and quick returns, and a kimono jacket in color 20#, XXL size, with a floral pattern, shirt collar, and available with LazFlash deals.

My budget is only `510`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `69`.
3. It provides a percentage discount of `24%` with a cap of `28`.",1,Voucher:1
"Looking for solar-powered lights with LED bulbs, clear color, 2-pin plug, power usage between 2000 and 3000 watts, 12v input, and from the brand yesq. Also searching for kids' sandals in size 32-33, white, purple, or green, with a simple design for everyday wear. Need a budget organizer wallet set. Lastly, interested in men's lifestyle shoes from New Balance in brown, size US 10.

My budget is only `6375`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `1681`.
3. It provides a fixed discount of `571`.",1,Voucher:1
"Show me phone cases for oppo a16 that have a built-in stand and support cash on delivery. Also, I'm looking for fishing lures that are 120mm in size.

My budget is only `606`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `167`.
3. It provides a fixed discount of `56`.",1,Voucher:1
"Looking for a voltmeter in the car gauge category with a vibrant color option, and also searching for a Mazda alternator drive belt for a 1.5L SKYACTIV model.

My budget is only `1726`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `423`.
3. It provides a percentage discount of `49%` with a cap of `322`.",1,Voucher:1
"I'm looking for some snacks with a rum flavor that can be stored in the cupboard from the brand oishi. Also, I want a pair of reflective traffic hand gloves that come with both LazMall and LazFlash services for extra perks and deals. Lastly, I'm interested in a gravity water dispenser for pets made of BPA-free plastic, easy to clean, and available with LazFlash for special discounts.

My budget is only `877`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `295`.
3. It provides a fixed discount of `65`.",1,Voucher:1
"Find a high-temperature resistant insulation cloth with free delivery and LazFlash deal. Also, show me women's purple ankle rain boots in size 36 that are waterproof and designed for females. Lastly, I'm looking for a Chicago Bulls snapback cap in color family 2, one size, with embroidered cotton material.

My budget is only `371`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `436`.
3. It provides a percentage discount of `50%` with a cap of `309`.",1,Voucher:1
"Looking for a vktech motion sensor for security systems, preferably a detector switch for LED lights.",1,Product:1
Show me halal guava drinks from the Philippines that cost over 69 pesos.,1,Product:1
"Looking for a powerplus brand brake shoe for Honda CRV, model years 2007 to 2011, in the handbrake parts category.",1,Product:1
"I'm looking for a shop that offers a variety of knitting supplies. I want to find: (1) yarn made of 100% cotton, (2) a tulip brand crochet hook in 2.5mm size, with cash on delivery available and priced above 647 PHP, (3) lightweight paper yarn that comes with free shipping, is part of a LazFlash deal, and costs more than 303 PHP, and (4) natural color crochet yarn with LazMall service and a price over 277 PHP. Please show me shops that sell these different knitting products.",1,Shop:1
"Find shops offering at least three items: one for pregnant pets in the vitamins category priced above 32 PHP, another in pet soap that's a moisturizing type and costs more than 41 PHP, and a third milk enhancer or vitamin for dogs or cats that comes with complimentary shipping.",1,Shop:1
"I'm looking for an a13 color OEM brand phone strap, a Honda CBR150-R or CRF150 fuel pump filter, and an HP brand black ink bottle. Please show me these products in their respective categories.

My budget is only `398`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `473`.
3. It provides a fixed discount of `233`.",1,Voucher:1
"Show me Honda swing arm bushing from LazMall, Honda valve seal steam by honda, Honda torque drive oil seal for honda bikes with free shipping and LazFlash deals, and Yamaha sniper 135 speedometer gear box for motorstar sniper 135. I'm looking for these motorcycle parts.

My budget is only `720`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `681`.
3. It provides a fixed discount of `205`.",1,Voucher:1
"I'm looking for a plastic chain lubricant for bikes, an alloy chain ring sized 38t, waterproof handlebar grips for bicycles that can be paid for with cash on delivery, and a CST brand bike tire.

My budget is only `464`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `95`.
3. It provides a fixed discount of `31`.",1,Voucher:1
"I'm looking for some ink bottles. First, I want one that's a universal cone type UV refill. Next, I need a refill bottle compatible with Epson 664 models like L365 or L120. Also, I'm searching for a premium quality black 100ml dye refill ink for Epson L1110, L3110, or similar L series printers. Lastly, I want a 664 empty refill ink bottle that comes with LazMall's authenticity and return guarantees.

My budget is only `136`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `60`.
3. It provides a percentage discount of `32%` with a cap of `47`.",1,Voucher:1
"Looking for a powder product that comes with LazMall perks like guaranteed authenticity and easy returns, plus free delivery.",1,Product:1
"Show me waterproof Kemei shavers with LazFlash deals, priced above 653 PHP.",1,Product:1
"Looking for a red cotton t-shirt in XL with a graphic print, round neck, and short sleeves (three-quarter length), from Bath and Body Works, priced above 195 pesos.",1,Product:1
"Looking for a black LED logo for the rear trunk lid, suitable for a 2011 Toyota Fortuner.",1,Product:1
Looking for premium instant coffee jar,1,Product:1
Show me wireless mice with bluetooth capability and a price above 224 PHP.,1,Product:1
"Looking for a shop offering linoleum flooring with these options: one in red wood color and wood pattern; another in ash blue shade, rubberized linoleum style, and material type c; and a third with rubberized linoleum type, available with LazFlash deals, priced from 4 to 174 pesos.",1,Shop:1
"Find a shop that sells these items: First, a multipack baking tool with LazFlash promo and price above 53 PHP. Second, a product for baking ingredients priced over 18 PHP. Third, a baking soda model with price between 28 and 41 PHP. Lastly, a vanilla flavor baking ingredient priced from 152 to 1045 PHP.",1,Shop:1
"I'm looking for a shop that offers both a women's blouse and a terno short set. For the blouse, it should come in color #18, be one size, made from cotton, have a graphic print, a scoop neckline, be plus size, and cost more than 97 pesos. For the terno short set, I want it in black#2, free size, and it should include free shipping.",1,Shop:1
"Find shops selling these products: 1) a black unisex t-shirt, size large, with a shirt collar, plain pattern, regular fit, available with LazFlash and priced between 178 and 490 pesos; 2) a black men's sando, size medium, crew neck, plain design, with free shipping; 3) an army green summer tee, size medium, sleeveless, for summer, available with LazMall and costing more than 122 pesos; 4) a men's short sleeve t-shirt, regular fit, casual style, made from cotton spandex. Show only shops that offer all these items.",1,Shop:1
"Looking for a shop offering both of these: First, petite regular-fit denim pants for women in dark blue, plain style, with a 29-inch low waist, push up feature, and priced between 67 and 366 pesos. Second, slim-fit black denim pants for women with a 31-inch low waist, ankle length, and costing over 161 pesos.",1,Shop:1
"I'm looking for a racing CDI for a Raider 150, a best-selling hydrating face serum and primer from m.a.c that's alcohol-free, and a Roman collar made in Italy that's related to sewing crafts.

My budget is only `4232`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `738`.
3. It provides a percentage discount of `29%` with a cap of `632`.",1,Voucher:1
"Find a women's watch in the silver color family with a stainless steel strap, quartz movement, analog & quartz features, 34mm dial, 30m water resistance, and free shipping. Also, look for kids' girls' black leather Mary Janes with flower decoration, size EU 27, color code #109, and free shipping. Show me a cleansing foam from the brand Derma Natufian. Lastly, search for pink wireless earbuds with noise isolating features, Bluetooth 5.3, dynamic drivers, OEM brand, 500 battery capacity, and free shipping.

My budget is only `1335`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `1637`.
3. It provides a percentage discount of `50%` with a cap of `1141`.",1,Voucher:1
"Looking for kids t-shirts in small size with an o-neck collar, and also unisex boys t-shirts in small with a round neck, suitable for everyday wear.

My budget is only `98`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `94`.
3. It provides a percentage discount of `18%` with a cap of `92`.",1,Voucher:1
"Looking for biryani masala in a box with a 1 week guarantee and available with LazFlash deals, some crispy pani puri that comes in a single pouch and can be stored in the cupboard, and also basmati rice suitable for Indian cooking packed in a bag.

My budget is only `1064`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `263`.
3. It provides a fixed discount of `39`.",1,Voucher:1
Show me single-pack bags of chili powder priced above 375 pesos.,1,Product:1
"Looking for a 5 inch stainless steel hasp for door security, with free delivery and price between 7 to 38 PHP.",1,Product:1
I'm looking for creatine powder sachets.,1,Product:1
Show me cotton newborn sets priced above 138 PHP.,1,Product:1
"Looking for a shop that offers these items: First, a men's leather business casual belt in brown, size waist 44, made of leather, with a simple pattern and a relaxed style. Second, a tactical belt for men from China, one size fits all, in army green, with a plain design, crafted from canvas, and available with a LazFlash deal. Third, a leather belt suitable for both men and women, size waist 33, in coffee brown, featuring a plain look, made of leather, casual style, and priced above 24 pesos. Lastly, a pure leather belt for men, size waist 38, in black, casual style, made of leather, and costs more than 42 pesos. Please show shops that sell all these types of belts.",1,Shop:1
"Find a shop selling contact lenses where one product has a black color option and costs between 12 and 50 pesos, and another product has both black and soft color options, is suitable for 12 months use, and comes with free shipping.",1,Shop:1
"Find shops offering a blouse in blue gray, size 4XL, with long sleeves, a shirt collar, made by OEM, crafted from polyester, and priced above 113 PHP; a dress in green, size 3XL, plain pattern, midi length, A-line shape, basic style, suitable for casual occasions, regular fit, and off shoulder collar; and a skirt in green, long length, floral pattern, made of polyester, with a price between 36 and 296 PHP.",1,Shop:1
"Find shops offering these products: First, a swing arm for skygo and universal motorcycle models, priced from 476 to 1296 PHP. Second, a swing arm assembly for bajaj universal motorcycles, costing over 156 PHP. Third, a set of blue alloy mags for universal motorcycles, with a price above 1095 PHP.",1,Shop:1
"I'm looking for shimmer finish mica powder in the 5 grams size from a mass market brand, preferably with a LazFlash deal. Also, I want a box of cute plastic stickers in color option 1, suitable for kids 8 years and older. Lastly, I need a disposable 20ml plastic syringe, ideally with a long tip for pet feeding or watering.

My budget is only `99`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `41`.
3. It provides a percentage discount of `15%` with a cap of `19`.",1,Voucher:1
"I'm looking for a lamp adapter in white that uses an E27 plug, works with 220v, and has a power usage between 1 and 500 watts. Also, I want white wireless headphones with noise isolation, Bluetooth 5.3, a 30mAh battery, available on LazMall with cash on delivery. Lastly, I'm interested in 70g pet treats from the gourmet smoothie range.

My budget is only `672`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `74`.
3. It provides a fixed discount of `9`.",1,Voucher:1
"I'm looking for a spring drain cleaner that's 15 meters long, a set of crayons in the kuromi color from miniso, a 100ml pain relief massage oil with a red scent that can be paid for with cash on delivery, and a small yellow kitchen sponge set made of sponge material with a LazFlash deal.

My budget is only `733`, but I have a voucher with the following rules:
1. The voucher applies to all products.
2. It is valid only when the total price of the products exceeds `618`.
3. It provides a percentage discount of `10%` with a cap of `356`.",1,Voucher:1
"Looking for a large capacity pencil case in dark blue with a zipper closure, a weekly and monthly planner notebook with 60 pages, a set of 100 unique kawaii laser stickers for students, and a canvas waterproof pencil case for girls that comes with LazMall services like authenticity guarantee and quick returns. Please show options in the relevant categories.

My budget is only `530`, but I have a voucher with the following rules:
1. The voucher only applies to the products from the same shop.
2. It is valid only when the total price of the products exceeds `338`.
3. It provides a percentage discount of `12%` with a cap of `194`.",1,Voucher:1
Show me vinyl stickers with a cost above 12 PHP.,1,Product:1
"Show me liquid foundation for oily skin with full coverage, oil-free ingredients, any skin tone, sold as a single item, and priced between 362 and 2591 PHP.",1,Product:1
"Show me cotton t-shirts for women in medium size and puma black color, with LazFlash deals, priced above 988 PHP.",1,Product:1
"Find a shop offering these products: First, classic unisex sandals in size eu:36, gray color, made of rubber with a striped design, and price above 27 PHP. Second, trendy flats in size us:9, white color, with a plain pattern, perfect for summer and casual occasions, priced over 23 PHP. Third, flats sandals in tan, size us:9, open toe, braided pattern, made of leather, from the Marikina brand, and includes free shipping.",1,Shop:1
